delivery_delay_days,is_late,approval_wait_hours,carrier_wait_days,order_dayofweek,order_hour,total_items,total_price,total_freight,avg_price,max_price,price_to_freight_ratio,payment_installments,payment_value,product_weight_g,product_photos_qty,product_description_lenght,category_bad_rate,state_bad_rate,same_state,customer_past_bad_orders,pay_credit_card,pay_debit_card,pay_not_defined,pay_voucher,season_Spring,season_Summer,season_Winter,is_bad_order
-16.0,0,0.18194444444444444,0.0,3,22,1.0,58.2,8.78,58.2,58.2,6.6287,1.0,66.98,83.0,1.0,1276.0,0.11450641826650006,0.11955307262569832,1,0,True,False,False,False,False,False,False,0
-14.0,0,0.22944444444444445,0.0,1,20,1.0,110.99,21.27,110.99,110.99,5.2181,3.0,132.26,1750.0,1.0,413.0,0.15525212342758843,0.1207464324917673,0,0,True,False,False,False,False,False,False,0
-14.0,0,0.20694444444444443,4.0,3,20,1.0,38.5,24.84,38.5,38.5,1.5499,5.0,63.34,950.0,1.0,223.0,0.15525212342758843,0.1455223880597015,0,0,True,False,False,False,False,False,False,0
-13.0,0,12.87888888888889,10.0,0,14,1.0,179.99,51.13,179.99,179.99,3.5202,1.0,231.12,7417.0,1.0,794.0,0.21422924901185772,0.16715976331360946,0,0,False,False,False,False,True,False,False,1
-15.0,0,17.119722222222222,2.0,4,9,1.0,544.0,30.36,544.0,544.0,17.9183,1.0,574.36,10600.0,1.0,699.0,0.1145684155708892,0.11095673837014325,1,0,False,False,False,False,False,True,False,0
-13.0,0,24.178333333333335,2.0,5,16,1.0,14.82,15.1,14.82,14.82,0.9815,2.0,29.92,400.0,2.0,606.0,0.15525212342758843,0.13087709650811108,0,0,True,False,False,False,False,False,True,0
-13.0,0,37.88666666666666,1.0,1,12,1.0,394.9,14.89,394.9,394.9,26.5211,1.0,409.79,813.0,1.0,315.0,0.1456675176452921,0.11095673837014325,0,0,False,False,False,False,False,True,False,0
-15.0,0,0.4330555555555556,5.0,4,13,1.0,49.9,12.79,49.9,49.9,3.9015,6.0,62.69,450.0,1.0,579.0,0.15702479338842976,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-4.0,0,0.23694444444444446,2.0,0,19,1.0,89.18,16.38,89.18,89.18,5.4444,5.0,105.56,750.0,7.0,696.0,0.14926077382824787,0.11955307262569832,0,0,True,False,False,False,False,True,False,0
-12.0,0,0.6725,1.0,1,8,1.0,29.99,7.39,29.99,29.99,4.0582,1.0,37.38,150.0,5.0,675.0,0.1396514681308188,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-3.0,0,9.633055555555556,2.0,1,22,1.0,58.99,17.66,58.99,58.99,3.3403,7.0,76.65,200.0,2.0,492.0,0.11450641826650006,0.11000991080277503,0,0,True,False,False,False,True,False,False,0
-24.0,0,0.2836111111111111,2.0,2,22,1.0,98.44,22.4,98.44,98.44,4.3946,4.0,120.84,200.0,1.0,385.0,0.1456675176452921,0.11955307262569832,0,0,True,False,False,False,False,False,False,1
-13.0,0,26.877222222222223,1.0,2,23,1.0,219.9,18.79,219.9,219.9,11.703,1.0,238.69,342.0,1.0,236.0,0.13500980916711253,0.13087709650811108,0,0,False,False,False,False,False,True,False,0
-7.0,0,44.01555555555556,2.0,6,23,1.0,759.0,13.08,759.0,759.0,40.09307500000005,8.0,772.08,475.0,3.0,474.0,0.1396514681308188,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-10.0,0,0.5325,0.0,4,8,1.0,65.9,37.37,65.9,65.9,1.7634,1.0,103.27,500.0,2.0,757.0,0.1145684155708892,0.16841317365269462,0,0,True,False,False,False,False,False,True,0
-21.0,0,0.2808333333333333,2.0,0,8,1.0,10.9,12.79,10.9,10.9,0.8522,2.0,23.69,200.0,3.0,161.0,0.14926077382824787,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
17.0,1,0.2411111111111111,5.0,2,11,1.0,83.9,17.84,83.9,83.9,4.7029,5.0,101.74,1500.0,1.0,418.0,0.14926077382824787,0.1805944600062247,0,0,True,False,False,False,True,False,False,1
-16.0,0,0.24305555555555555,0.0,3,7,1.0,17.9,10.96,17.9,17.9,1.6332,1.0,28.86,300.0,1.0,122.0,0.15525212342758843,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
-35.0,0,0.36333333333333334,1.0,1,9,1.0,99.2,18.57,99.2,99.2,5.3419,2.0,117.77,375.0,1.0,2440.0,0.1382941382941383,0.11000991080277503,0,0,True,False,False,False,False,False,True,0
-2.0,0,0.18416666666666667,1.0,6,11,1.0,160.0,12.14,160.0,160.0,13.1796,2.0,172.14,1400.0,8.0,1632.0,0.11821305841924398,0.11095673837014325,1,0,True,False,False,False,False,False,True,0
-14.0,0,0.14944444444444444,0.0,2,8,1.0,29.9,12.69,29.9,29.9,2.3562,3.0,42.59,2600.0,2.0,465.0,0.1145684155708892,0.11095673837014325,1,0,True,False,False,False,False,False,False,0
1.0,1,28.141944444444444,1.0,0,22,1.0,13.99,7.39,13.99,13.99,1.8931,1.0,21.38,200.0,2.0,378.0,0.11450641826650006,0.11095673837014325,1,0,False,False,False,False,False,False,True,0
-12.0,0,84.50888888888889,1.0,4,17,1.0,35.0,15.35,35.0,35.0,2.2801,1.0,50.35,550.0,4.0,415.0,0.1171875,0.13087709650811108,0,0,False,False,False,False,False,False,True,0
-17.0,0,23.906944444444445,2.0,3,22,1.0,535.9,18.5,535.9,535.9,28.9676,8.0,554.4,593.0,3.0,913.0,0.11450641826650006,0.1207464324917673,0,0,True,False,False,False,False,False,False,0
-19.0,0,0.3416666666666667,0.0,1,21,1.0,69.9,26.11,69.9,69.9,2.6771,1.0,96.01,12300.0,2.0,67.0,0.14926077382824787,0.11095673837014325,0,0,True,False,False,False,False,True,False,0
-28.0,0,1.7652777777777777,3.0,5,23,1.0,589.9,20.0,589.9,589.9,29.495,6.0,609.9,2550.0,1.0,3458.0,0.11450641826650006,0.16715976331360946,0,0,True,False,False,False,False,True,False,0
